mode,target,split,n,R2,MAE,RMSE,NMAE,predictions,gate_pass
JOINT_VENTURE,value_U,test,614,0.99716698007695326,13.701308294784457,20.700444595700581,0.011551184590595872,UNCLIPPED,True
JOINT_VENTURE,invest_prob_C,train,2868,0.9997631646545091,0.0039206674978804991,0.0050786347544747026,0.0040366605963563463,UNCLIPPED,
JOINT_VENTURE,invest_prob_C,validation,614,0.9967917437538143,0.013988899128265737,0.018513018959569843,0.01468161236980131,UNCLIPPED,
JOINT_VENTURE,invest_prob_C,test,614,0.99732322144123287,0.013237850596834404,0.01744869073400418,0.013647769551222011,UNCLIPPED,True
JOINT_VENTURE,invest_prob_U,train,2868,0.9997631646545091,0.0039206674978804991,0.0050786347544747026,0.0040366605963563463,UNCLIPPED,
JOINT_VENTURE,invest_prob_U,validation,614,0.9967917437538143,0.013988899128265737,0.018513018959569843,0.01468161236980131,UNCLIPPED,
JOINT_VENTURE,invest_prob_U,test,614,0.99732322144123287,0.013237850596834404,0.01744869073400418,0.013647769551222011,UNCLIPPED,True
JOINT_VENTURE,expected_tau_C_conditional,train,2868,0.99861963141999399,0.19413054115888223,0.24731922815419011,0.0095490028495056507,UNCLIPPED,
JOINT_VENTURE,expected_tau_C_conditional,validation,614,0.98744232152797551,0.57887413541754651,0.7476096982010022,0.028958853241772123,UNCLIPPED,
JOINT_VENTURE,expected_tau_C_conditional,test,614,0.98747251211887399,0.5922802617686409,0.76522177088141641,0.028821338056085766,UNCLIPPED,True
JOINT_VENTURE,expected_tau_U_conditional,train,2868,0.99861963141999399,0.19413054115888223,0.24731922815419011,0.0095490028495056507,UNCLIPPED,
JOINT_VENTURE,expected_tau_U_conditional,validation,614,0.98744232152797551,0.57887413541754651,0.7476096982010022,0.028958853241772123,UNCLIPPED,
JOINT_VENTURE,expected_tau_U_conditional,test,614,0.98747251211887399,0.5922802617686409,0.76522177088141641,0.028821338056085766,UNCLIPPED,True
JOINT_VENTURE,mean_co2_price_conditional,train,2868,0.99740305235860172,2.4384720887594789,3.0842330130267799,0.0121666312946458,UNCLIPPED,
JOINT_VENTURE,mean_co2_price_conditional,validation,614,0.97581892398542391,7.1841958852154457,9.1659647082921563,0.039565340972038489,UNCLIPPED,
JOINT_VENTURE,mean_co2_price_conditional,test,614,0.97731446420568546,7.3624343812858681,9.1963655404173856,0.037440196244827445,UNCLIPPED,True
STATE_OWNED,system_npv,train,2868,0.99989383756452077,5.5051927028227317,8.3357967275973603,0.0022361850535826959,UNCLIPPED,
STATE_OWNED,system_npv,validation,614,0.99825447062571937,22.66492833020957,33.544328535276904,0.0093397721973808839,UNCLIPPED,
STATE_OWNED,system_npv,test,614,0.99773075387949428,25.436595708027379,39.877398074620388,0.0098740120878295871,UNCLIPPED,True
STATE_OWNED,invest_prob_C,train,2868,0.99977956284306324,0.0035956914313164117,0.004840122163115493,0.0037896614997910646,UNCLIPPED,
STATE_OWNED,invest_prob_C,validation,614,0.99690625415897693,0.012707885481417963,0.017792653671876584,0.013659276658264526,UNCLIPPED,
STATE_OWNED,invest_prob_C,test,614,0.99706259790015705,0.013012102986620991,0.018053394342288667,0.013714042670691731,UNCLIPPED,True
STATE_OWNED,invest_prob_U,train,2868,0.99977956284306324,0.0035956914313164117,0.004840122163115493,0.0037896614997910646,UNCLIPPED,
STATE_OWNED,invest_prob_U,validation,614,0.99690625415897693,0.012707885481417963,0.017792653671876584,0.013659276658264526,UNCLIPPED,
STATE_OWNED,invest_prob_U,test,614,0.99706259790015705,0.013012102986620991,0.018053394342288667,0.013714042670691731,UNCLIPPED,True
STATE_OWNED,expected_tau_C_conditional,train,2868,0.99885781225528181,0.17335884653285866,0.23154460583546727,0.0088385018433051969,UNCLIPPED,
STATE_OWNED,expected_tau_C_conditional,validation,614,0.98982592710827511,0.50114652311976016,0.68355163839078148,0.026594373203133306,UNCLIPPED,
STATE_OWNED,expected_tau_C_conditional,test,614,0.98895869009495863,0.53333618571364072,0.73391098956252043,0.027119457386042295,UNCLIPPED,True
STATE_OWNED,expected_tau_U_conditional,train,2868,0.99885781225528181,0.17335884653285866,0.23154460583546727,0.0088385018433051969,UNCLIPPED,
STATE_OWNED,expected_tau_U_conditional,validation,614,0.98982592710827511,0.50114652311976016,0.68355163839078148,0.026594373203133306,UNCLIPPED,
STATE_OWNED,expected_tau_U_conditional,test,614,0.98895869009495863,0.53333618571364072,0.73391098956252043,0.027119457386042295,UNCLIPPED,True
