found,root_count,root_index,explanation,mode,variable,boundary_type,min_response,max_response,closest_point,closest_response,left_endpoint_response,right_endpoint_response,threshold,min_abs_distance,min_signed_distance,threshold_side,direction,metric_family,increasing_steps,decreasing_steps,descriptive_flat_tolerance,monotonicity,rank_within_unit
False,0,,No crossing detected on the prescribed 1001-point exact grid within the specified domain.,TRANSFER,carbon_scale,STORAGE_FEE_ZERO,1259.875547571282,6657.45379021286,0.523,1259.875547571282,1308.9202545711908,6657.45379021286,0.0,1259.875547571282,1259.875547571282,above,increasing,price_CNY_per_t,960.0,40.0,9.460810858588588e-11,nonmonotonic,3
False,0,,No crossing detected on the prescribed 1001-point exact grid within the specified domain.,TRANSFER,carbon_scale,C_INVEST_PROB_50,0.6995394006443637,1.0,0.5,0.6995394006443637,0.6995394006443637,1.0,0.5,0.1995394006443637,0.1995394006443637,above,increasing,probability,83.0,0.0,1.4210854715202004e-14,nondecreasing,1
False,0,,No crossing detected on the prescribed 1001-point exact grid within the specified domain.,TRANSFER,carbon_scale,U_INVEST_PROB_50,0.6995394006443637,1.0,0.5,0.6995394006443637,0.6995394006443637,1.0,0.5,0.1995394006443637,0.1995394006443637,above,increasing,probability,83.0,0.0,1.4210854715202004e-14,nondecreasing,1
False,0,,No crossing detected on the prescribed 1001-point exact grid within the specified domain.,STATE_OWNED,carbon_scale,C_INVEST_PROB_50,0.802463007017233,1.0,0.5,0.802463007017233,0.802463007017233,1.0,0.5,0.30246300701723305,0.30246300701723305,above,increasing,probability,69.0,0.0,1.4210854715202004e-14,nondecreasing,3
False,0,,No crossing detected on the prescribed 1001-point exact grid within the specified domain.,STATE_OWNED,carbon_scale,U_INVEST_PROB_50,0.802463007017233,1.0,0.5,0.802463007017233,0.802463007017233,1.0,0.5,0.30246300701723305,0.30246300701723305,above,increasing,probability,69.0,0.0,1.4210854715202004e-14,nondecreasing,3
False,0,,No crossing detected on the prescribed 1001-point exact grid within the specified domain.,TRANSFER,effective_abatement_fraction,C_INVEST_PROB_50,0.8064101493132442,0.92158158255185,0.5,0.8064101493132442,0.8064101493132442,0.92158158255185,0.5,0.3064101493132442,0.3064101493132442,above,increasing,probability,24.0,0.0,1.4210854715202004e-14,nondecreasing,5
False,0,,No crossing detected on the prescribed 1001-point exact grid within the specified domain.,TRANSFER,effective_abatement_fraction,U_INVEST_PROB_50,0.8064101493132442,0.92158158255185,0.5,0.8064101493132442,0.8064101493132442,0.92158158255185,0.5,0.3064101493132442,0.3064101493132442,above,increasing,probability,24.0,0.0,1.4210854715202004e-14,nondecreasing,5
False,0,,No crossing detected on the prescribed 1001-point exact grid within the specified domain.,TRANSFER,capex_U_multiplier,C_INVEST_PROB_50,0.8181020463615661,0.9269723145326552,1.2598,0.8181020463615661,0.9269723145326552,0.8181020463615661,0.5,0.31810204636156614,0.31810204636156614,above,decreasing,probability,0.0,25.0,1.4210854715202004e-14,nonincreasing,7
False,0,,No crossing detected on the prescribed 1001-point exact grid within the specified domain.,TRANSFER,capex_U_multiplier,U_INVEST_PROB_50,0.8181020463615661,0.9269723145326552,1.2598,0.8181020463615661,0.9269723145326552,0.8181020463615661,0.5,0.31810204636156614,0.31810204636156614,above,decreasing,probability,0.0,25.0,1.4210854715202004e-14,nonincreasing,7
False,0,,No crossing detected on the prescribed 1001-point exact grid within the specified domain.,JOINT_VENTURE,carbon_scale,C_INVEST_PROB_50,0.8247119423998485,1.0,0.5,0.8247119423998485,0.8247119423998485,1.0,0.5,0.32471194239984846,0.32471194239984846,above,increasing,probability,58.0,23.0,1.4210854715202004e-14,nonmonotonic,9
False,0,,No crossing detected on the prescribed 1001-point exact grid within the specified domain.,JOINT_VENTURE,carbon_scale,U_INVEST_PROB_50,0.8311378553600441,1.0,0.5,0.8311378553600441,0.8311378553600441,1.0,0.5,0.33113785536004414,0.33113785536004414,above,increasing,probability,55.0,23.0,1.4210854715202004e-14,nonmonotonic,10
False,0,,No crossing detected on the prescribed 1001-point exact grid within the specified domain.,TRANSFER,transport_market_price,C_INVEST_PROB_50,0.8366238750830178,0.8748061104563545,186.25,0.8366238750830178,0.8748061104563545,0.8366238750830178,0.5,0.33662387508301783,0.33662387508301783,above,decreasing,probability,0.0,9.0,1.4210854715202004e-14,nonincreasing,11
False,0,,No crossing detected on the prescribed 1001-point exact grid within the specified domain.,TRANSFER,transport_market_price,U_INVEST_PROB_50,0.8366238750830178,0.8748061104563545,186.25,0.8366238750830178,0.8748061104563545,0.8366238750830178,0.5,0.33662387508301783,0.33662387508301783,above,decreasing,probability,0.0,9.0,1.4210854715202004e-14,nonincreasing,11
False,0,,No crossing detected on the prescribed 1001-point exact grid within the specified domain.,TRANSFER,storage_subsidy,C_INVEST_PROB_50,0.8536600244249485,0.89154211836536,0.0,0.8536600244249485,0.8536600244249485,0.89154211836536,0.5,0.3536600244249485,0.3536600244249485,above,increasing,probability,9.0,0.0,1.4210854715202004e-14,nondecreasing,13
False,0,,No crossing detected on the prescribed 1001-point exact grid within the specified domain.,TRANSFER,storage_subsidy,U_INVEST_PROB_50,0.8536600244249485,0.89154211836536,0.0,0.8536600244249485,0.8536600244249485,0.89154211836536,0.5,0.3536600244249485,0.3536600244249485,above,increasing,probability,9.0,0.0,1.4210854715202004e-14,nondecreasing,13
False,0,,No crossing detected on the prescribed 1001-point exact grid within the specified domain.,TRANSFER,capex_C_multiplier,C_INVEST_PROB_50,0.8536600244249485,0.8536600244249485,0.6999999999999998,0.8536600244249485,0.8536600244249485,0.8536600244249485,0.5,0.3536600244249485,0.3536600244249485,above,flat_endpoints,probability,0.0,0.0,1.4210854715202004e-14,numerically_flat,13
False,0,,No crossing detected on the prescribed 1001-point exact grid within the specified domain.,TRANSFER,capex_C_multiplier,U_INVEST_PROB_50,0.8536600244249485,0.8536600244249485,0.6999999999999998,0.8536600244249485,0.8536600244249485,0.8536600244249485,0.5,0.3536600244249485,0.3536600244249485,above,flat_endpoints,probability,0.0,0.0,1.4210854715202004e-14,numerically_flat,13
False,0,,No crossing detected on the prescribed 1001-point exact grid within the specified domain.,STATE_OWNED,effective_abatement_fraction,C_INVEST_PROB_50,0.8636695396943564,0.9501950938533784,0.5,0.8636695396943564,0.8636695396943564,0.9501950938533784,0.5,0.36366953969435645,0.36366953969435645,above,increasing,probability,23.0,0.0,1.4210854715202004e-14,nondecreasing,17
False,0,,No crossing detected on the prescribed 1001-point exact grid within the specified domain.,STATE_OWNED,effective_abatement_fraction,U_INVEST_PROB_50,0.8636695396943564,0.9501950938533784,0.5,0.8636695396943564,0.8636695396943564,0.9501950938533784,0.5,0.36366953969435645,0.36366953969435645,above,increasing,probability,23.0,0.0,1.4210854715202004e-14,nondecreasing,17
False,0,,No crossing detected on the prescribed 1001-point exact grid within the specified domain.,JOINT_VENTURE,effective_abatement_fraction,C_INVEST_PROB_50,0.8748061104563545,0.9600234212219037,0.503,0.8748061104563545,0.8801661609346763,0.9600234212219037,0.5,0.3748061104563545,0.3748061104563545,above,increasing,probability,23.0,12.0,1.4210854715202004e-14,nonmonotonic,19
False,0,,No crossing detected on the prescribed 1001-point exact grid within the specified domain.,JOINT_VENTURE,effective_abatement_fraction,U_INVEST_PROB_50,0.8748061104563545,0.962850596916408,0.503,0.8748061104563545,0.8863698184039139,0.962850596916408,0.5,0.3748061104563545,0.3748061104563545,above,increasing,probability,22.0,12.0,1.4210854715202004e-14,nonmonotonic,19
False,0,,No crossing detected on the prescribed 1001-point exact grid within the specified domain.,STATE_OWNED,capex_U_multiplier,C_INVEST_PROB_50,0.8847534529541989,0.9306317820903068,1.2658,0.8847534529541989,0.9306317820903068,0.8847534529541989,0.5,0.38475345295419894,0.38475345295419894,above,decreasing,probability,0.0,12.0,1.4210854715202004e-14,nonincreasing,21
False,0,,No crossing detected on the prescribed 1001-point exact grid within the specified domain.,STATE_OWNED,capex_U_multiplier,U_INVEST_PROB_50,0.8847534529541989,0.9306317820903068,1.2658,0.8847534529541989,0.9306317820903068,0.8847534529541989,0.5,0.38475345295419894,0.38475345295419894,above,decreasing,probability,0.0,12.0,1.4210854715202004e-14,nonincreasing,21
False,0,,No crossing detected on the prescribed 1001-point exact grid within the specified domain.,STATE_OWNED,capex_C_multiplier,C_INVEST_PROB_50,0.915175464811341,0.92158158255185,1.1812,0.915175464811341,0.92158158255185,0.915175464811341,0.5,0.41517546481134104,0.41517546481134104,above,decreasing,probability,0.0,2.0,1.4210854715202004e-14,nonincreasing,23
False,0,,No crossing detected on the prescribed 1001-point exact grid within the specified domain.,STATE_OWNED,capex_C_multiplier,U_INVEST_PROB_50,0.915175464811341,0.92158158255185,1.1812,0.915175464811341,0.92158158255185,0.915175464811341,0.5,0.41517546481134104,0.41517546481134104,above,decreasing,probability,0.0,2.0,1.4210854715202004e-14,nonincreasing,23
False,0,,No crossing detected on the prescribed 1001-point exact grid within the specified domain.,STATE_OWNED,transport_market_price,C_INVEST_PROB_50,0.918044409433425,0.918044409433425,75.0,0.918044409433425,0.918044409433425,0.918044409433425,0.5,0.418044409433425,0.418044409433425,above,flat_endpoints,probability,0.0,0.0,1.4210854715202004e-14,numerically_flat,25
False,0,,No crossing detected on the prescribed 1001-point exact grid within the specified domain.,STATE_OWNED,transport_market_price,U_INVEST_PROB_50,0.918044409433425,0.918044409433425,75.0,0.918044409433425,0.918044409433425,0.918044409433425,0.5,0.418044409433425,0.418044409433425,above,flat_endpoints,probability,0.0,0.0,1.4210854715202004e-14,numerically_flat,25
False,0,,No crossing detected on the prescribed 1001-point exact grid within the specified domain.,STATE_OWNED,storage_subsidy,C_INVEST_PROB_50,0.918044409433425,0.9464278414861372,0.0,0.918044409433425,0.918044409433425,0.9464278414861372,0.5,0.418044409433425,0.418044409433425,above,increasing,probability,11.0,0.0,1.4210854715202004e-14,nondecreasing,25
False,0,,No crossing detected on the prescribed 1001-point exact grid within the specified domain.,STATE_OWNED,storage_subsidy,U_INVEST_PROB_50,0.918044409433425,0.9464278414861372,0.0,0.918044409433425,0.918044409433425,0.9464278414861372,0.5,0.418044409433425,0.418044409433425,above,increasing,probability,11.0,0.0,1.4210854715202004e-14,nondecreasing,25
False,0,,No crossing detected on the prescribed 1001-point exact grid within the specified domain.,JOINT_VENTURE,capex_U_multiplier,C_INVEST_PROB_50,0.918044409433425,0.9393730838644824,1.2166,0.918044409433425,0.9393730838644824,0.9216177970035848,0.5,0.418044409433425,0.418044409433425,above,decreasing,probability,4.0,4.0,1.4210854715202004e-14,nonmonotonic,25
False,0,,No crossing detected on the prescribed 1001-point exact grid within the specified domain.,JOINT_VENTURE,capex_U_multiplier,U_INVEST_PROB_50,0.918044409433425,0.944521213230158,1.2166,0.918044409433425,0.944521213230158,0.9241936205723792,0.5,0.418044409433425,0.418044409433425,above,decreasing,probability,4.0,4.0,1.4210854715202004e-14,nonmonotonic,25
False,0,,No crossing detected on the prescribed 1001-point exact grid within the specified domain.,JOINT_VENTURE,capex_C_multiplier,C_INVEST_PROB_50,0.92158158255185,0.9338213071804496,1.189,0.92158158255185,0.9306317820903068,0.923544131544094,0.5,0.42158158255184996,0.42158158255184996,above,decreasing,probability,2.0,2.0,1.4210854715202004e-14,nonmonotonic,31
False,0,,No crossing detected on the prescribed 1001-point exact grid within the specified domain.,JOINT_VENTURE,capex_C_multiplier,U_INVEST_PROB_50,0.92158158255185,0.9375128248683536,1.189,0.92158158255185,0.9306317820903068,0.9284955648424448,0.5,0.42158158255184996,0.42158158255184996,above,decreasing,probability,2.0,2.0,1.4210854715202004e-14,nonmonotonic,31
False,0,,No crossing detected on the prescribed 1001-point exact grid within the specified domain.,JOINT_VENTURE,storage_subsidy,C_INVEST_PROB_50,0.9264972176972016,0.9678096497029762,15.12,0.9264972176972016,0.9308143512581912,0.9666981203847376,0.5,0.4264972176972016,0.4264972176972016,above,increasing,probability,21.0,3.0,1.4210854715202004e-14,nonmonotonic,33
False,0,,No crossing detected on the prescribed 1001-point exact grid within the specified domain.,JOINT_VENTURE,storage_subsidy,U_INVEST_PROB_50,0.9264972176972016,0.9718170258274436,15.12,0.9264972176972016,0.9345058689460952,0.97043131620267,0.5,0.4264972176972016,0.4264972176972016,above,increasing,probability,18.0,5.0,1.4210854715202004e-14,nonmonotonic,33
False,0,,No crossing detected on the prescribed 1001-point exact grid within the specified domain.,JOINT_VENTURE,transport_market_price,C_INVEST_PROB_50,0.9308143512581912,0.9308143512581912,75.0,0.9308143512581912,0.9308143512581912,0.9308143512581912,0.5,0.43081435125819123,0.43081435125819123,above,flat_endpoints,probability,0.0,0.0,1.4210854715202004e-14,numerically_flat,35
False,0,,No crossing detected on the prescribed 1001-point exact grid within the specified domain.,JOINT_VENTURE,transport_market_price,U_INVEST_PROB_50,0.9345058689460952,0.9345058689460952,75.0,0.9345058689460952,0.9345058689460952,0.9345058689460952,0.5,0.4345058689460952,0.4345058689460952,above,flat_endpoints,probability,0.0,0.0,1.4210854715202004e-14,numerically_flat,36
